author,category,language,editor,edition,totalPages,damagedPages,age,price
Rachel Navarro,Science,Spanish,Macmillan,1th,189,11,10,0.5
Ashley Johnson,Biography,English,Springer,9th,878,80,1,18.05
Brandi Parks,Philosophy,French,Cambridge,5th,82,1,6,18.41
Lori Butler,Fantasy,Italian,Pearson,3th,536,19,2,6.61
Dustin Holt,Philosophy,German,Pearson,4th,273,15,6,14.56
Amber Aguilar,Fantasy,Italian,Simon & Schuster,4th,324,6,1,84.99
Natalie Porter,Philosophy,Italian,Macmillan,6th,813,12,8,86.52
Ashley Smith,Fantasy,Spanish,HarperCollins,8th,933,33,6,76.85
Mrs. Danielle Barker MD,Fiction,Spanish,Cambridge,7th,682,47,6,22.69
Heather Miller,Fantasy,German,Simon & Schuster,7th,765,23,0,20.91
Shelby Sims,Fantasy,Spanish,Penguin,9th,55,3,0,45.24
Emma Harris,Biography,Spanish,Simon & Schuster,7th,265,16,2,13.89
Peter Guerra,Non-Fiction,Italian,Oxford,2th,331,4,2,76.42
Dean Williams,Philosophy,German,Cambridge,8th,959,37,2,53.17
Patricia White,Non-Fiction,German,HarperCollins,2th,414,18,4,8.02
Jennifer Miller,History,Italian,Cambridge,7th,827,62,10,51.36
Gabrielle Ryan,Science,German,Simon & Schuster,10th,614,5,0,23.11
Mark Carlson,Biography,German,Cambridge,8th,490,18,6,4.18
Isabella Daniel,Fiction,Spanish,Springer,7th,971,65,7,17.85
Laura Johnson,Fantasy,French,Oxford,6th,379,6,1,64.59
Connie Edwards,Non-Fiction,Italian,Oxford,6th,488,31,10,14.51
Valerie Arroyo,Fiction,French,Oxford,2th,671,23,0,140.58
Tiffany Duke,Non-Fiction,French,HarperCollins,5th,421,42,7,0.5
Jacqueline Hernandez,Philosophy,Spanish,Springer,6th,568,43,5,6.34
Krista Crawford,Science,Spanish,Oxford,5th,739,39,5,57.61
Chad Powell,Science,German,Pearson,5th,50,4,1,9.82
Brett Parker,Technology,English,Pearson,3th,282,17,1,40.99
Jessica Vargas,Technology,French,Macmillan,1th,405,27,10,77.57
Philip Mcintosh,Fiction,Italian,Springer,1th,687,34,7,21.68
Jay Ray,Non-Fiction,English,HarperCollins,7th,201,19,9,89.42
Teresa Rangel,Fiction,Italian,Pearson,3th,404,30,3,34.84
Thomas Wade,Technology,German,Penguin,5th,470,31,4,60.25
Angela Powell,Biography,Italian,Simon & Schuster,9th,389,14,10,60.78
Rodney Elliott,Biography,French,Penguin,8th,585,23,9,49.82
Kimberly Ortiz,Technology,Spanish,Springer,6th,104,5,3,3.85
Lauren Williams,Science,Italian,Oxford,10th,999,53,3,58.08
Jeffrey Diaz,Non-Fiction,French,Cambridge,2th,769,1,7,94.26
Jennifer Contreras,Non-Fiction,English,Simon & Schuster,9th,856,61,2,44.07
Hannah Davis,Philosophy,English,HarperCollins,3th,118,1,0,53.69
Autumn Graham,History,French,Penguin,7th,854,10,3,9.68
Elizabeth Cantrell,Technology,English,Springer,8th,247,15,3,25.61
Jeanette Beck,Technology,French,Simon & Schuster,6th,380,8,5,12.55
Judy Velez,History,French,Cambridge,2th,942,37,3,67.51
Shane Adams,Technology,Spanish,Oxford,9th,853,49,9,75.5
Paul Cisneros,Fantasy,French,Oxford,2th,555,40,0,81.64
Jennifer Ramos,Science,English,Penguin,1th,680,53,0,83.19
Paula Singh,Philosophy,Spanish,Cambridge,9th,257,3,8,5.66
Leslie Montoya,Biography,Spanish,Cambridge,8th,710,32,8,58.53
Jennifer Romero,Fantasy,German,Oxford,3th,366,14,6,44.72
Amber Woodard,History,French,Macmillan,7th,826,74,9,27.76
Mrs. Alicia Jenkins,Biography,English,Simon & Schuster,7th,464,34,8,73.4
Cory Hester,Biography,Spanish,Penguin,6th,582,46,2,19.41
Sharon Farmer,History,German,Springer,10th,406,40,2,2.04
Caitlin Washington,Non-Fiction,Spanish,HarperCollins,4th,862,30,9,52.85
Margaret Boone,Fantasy,English,Springer,10th,668,43,9,56.54
Joseph Young,Fiction,English,Pearson,8th,542,23,0,30.3
Joan Adams,Technology,French,Macmillan,3th,818,17,0,60.73
Dr. Lauren Perkins,Fantasy,French,Springer,1th,245,8,10,66.4
Kelli Gonzalez,Biography,French,Oxford,10th,996,1,10,7.37
Darrell Lee,Biography,French,Macmillan,1th,587,26,1,48.92
Makayla Ellis,Technology,English,Penguin,8th,727,26,1,1.04
Jodi Wyatt,Science,English,Penguin,4th,316,27,5,36.08
Maria Collier,Fantasy,English,Macmillan,7th,953,87,5,67.64
Cameron Garcia,Fantasy,Italian,Penguin,4th,262,7,4,69.67
Charlene Hernandez,Philosophy,French,Penguin,3th,566,41,2,0.5
Daniel Fuentes,Fantasy,French,Pearson,4th,161,3,6,14.01
Jim Brown,Philosophy,English,Pearson,6th,865,86,4,14.49
Tyler Collins,Science,Spanish,Simon & Schuster,9th,828,63,8,45.62
Sean Day,Philosophy,German,Pearson,4th,120,10,0,41.95
Shannon Roberts,Fiction,German,Penguin,7th,410,33,2,37.39
Jeremy Moore,Philosophy,French,Penguin,3th,433,36,9,69.13
Todd Anderson,Fiction,German,Pearson,9th,401,24,8,38.6
Paul Nunez,Fantasy,French,HarperCollins,6th,680,51,10,145.73
Matthew Garcia,Technology,Spanish,Simon & Schuster,10th,871,36,7,59.85
Cynthia Edwards,Non-Fiction,English,HarperCollins,9th,82,0,7,33.76
Jonathan Hughes,Biography,French,Simon & Schuster,5th,372,15,10,44.63
Christina Santiago,History,German,Springer,8th,793,4,6,42.21
Brian Curry,Technology,French,Springer,5th,282,24,1,155.51
Kelly Garza,History,French,Penguin,4th,593,48,4,13.13
Zachary Hernandez,Fantasy,Italian,Macmillan,2th,903,81,3,31.78
Christina Campbell,History,German,Springer,7th,985,21,10,3.67
Angela Hernandez,Biography,German,HarperCollins,2th,678,65,1,3.3
Seth Yates,Philosophy,English,Penguin,9th,766,41,3,86.56
Shannon Mcguire,Technology,French,Pearson,1th,575,52,0,29.38
Joshua Dalton,Non-Fiction,English,Oxford,9th,213,16,9,65.0
William Davidson,History,German,Oxford,1th,514,11,5,83.07
Samuel Fuller,Technology,Spanish,Springer,2th,156,0,5,87.56
Michelle Smith,Science,Italian,HarperCollins,2th,394,32,2,27.71
Ebony Roberts,Philosophy,English,Macmillan,1th,318,3,7,46.98
Matthew Mercado,Fiction,English,Cambridge,7th,702,36,7,39.15
Troy Anderson,Fiction,English,Macmillan,3th,852,12,5,27.84
Eric Castro,Science,Spanish,Cambridge,2th,246,8,4,59.09
Jennifer Robinson,Science,Spanish,Pearson,6th,511,25,9,9.12
Heidi Burch,Non-Fiction,French,Penguin,5th,822,9,7,55.94
Sara Malone,History,French,HarperCollins,6th,566,27,10,45.19
Ashley Miller,Fiction,Italian,HarperCollins,5th,849,32,2,69.66
Richard Woods,Fantasy,French,Macmillan,9th,449,5,9,27.49
Matthew Adams,Fiction,German,Penguin,6th,519,20,2,40.66
Kyle Rogers,Fantasy,Italian,Penguin,3th,993,21,2,5.77
Dustin Boyd,Fiction,German,Simon & Schuster,3th,952,48,3,69.82
Sara Boyd,Technology,German,HarperCollins,5th,828,52,9,18.84
Scott Marks,Biography,Italian,Macmillan,8th,672,2,1,45.62
Ernest Ryan,Technology,Spanish,Springer,1th,444,31,4,47.41
Angela Snyder,Technology,English,Macmillan,2th,478,29,2,53.04
Mrs. Carrie Gregory,Non-Fiction,French,Pearson,10th,350,6,9,2.68
Sarah Collins,Science,French,Simon & Schuster,4th,731,58,8,6.2
David Snyder,Non-Fiction,French,Simon & Schuster,8th,484,29,9,37.09
Shawn Andrews,Technology,English,Macmillan,6th,511,1,1,104.1
Christopher Silva,Biography,French,Springer,7th,584,24,5,63.59
Christine Yates,Biography,German,Macmillan,5th,487,5,2,93.75
Shannon Johns,Biography,Spanish,Pearson,4th,51,3,0,73.34
Brittany White,Fantasy,French,Cambridge,8th,951,11,1,53.94
Jessica Phillips,Technology,German,HarperCollins,2th,712,62,6,53.85
Brent Brown,Fiction,German,Cambridge,4th,750,59,6,177.24
Paige Haynes,Philosophy,French,HarperCollins,8th,646,32,7,7.54
Colin Reed,Non-Fiction,French,HarperCollins,4th,682,66,0,56.11
Patrick Owens,Fantasy,French,Macmillan,9th,150,13,7,34.13
James Phillips,Biography,German,Simon & Schuster,5th,576,46,5,42.57
Brooke Allen,Fantasy,French,HarperCollins,3th,330,2,7,61.34
Walter Gibbs,Fiction,French,Springer,1th,287,20,3,43.72
Luis Jones IV,Technology,French,Macmillan,7th,721,35,8,0.5
Joseph Valencia,Technology,French,Penguin,1th,657,53,10,124.99
Christine Pierce,Biography,English,Pearson,8th,55,5,7,15.48
Margaret Berry,Technology,French,Oxford,5th,101,5,7,25.35
William Butler,Technology,English,Macmillan,3th,884,53,0,31.58
Rhonda Cherry,Fiction,Italian,Simon & Schuster,9th,709,20,3,68.37
Sarah Russo,Technology,Italian,Pearson,2th,322,27,4,64.15
Katherine Mcdonald,Philosophy,French,Springer,3th,214,4,4,41.79
Kevin Estrada,Philosophy,English,Springer,3th,145,6,3,16.67
Kayla Davis,History,Italian,Simon & Schuster,2th,536,52,5,37.38
Brittany Allen,Science,German,HarperCollins,7th,117,9,5,37.04
Ricardo Castaneda,Biography,English,Oxford,6th,953,32,5,10.38
Antonio Walker,Fantasy,French,Penguin,10th,73,3,0,67.66
Jason Matthews,History,Italian,Oxford,10th,306,6,7,53.96
Brooke Simmons,Fantasy,German,Penguin,3th,275,5,10,83.3
Victor White,Technology,English,Oxford,4th,964,79,5,69.12
Andrew Cherry,Fantasy,German,Oxford,6th,132,4,8,10.58
Brandon Parker,Technology,French,Cambridge,9th,106,7,4,130.3
Daniel Spence,Technology,English,Cambridge,8th,714,26,3,51.39
Amy Perez,Fiction,Italian,Cambridge,2th,256,1,8,11.82
Philip Perez,History,English,Penguin,5th,685,67,3,99.5
Kristen Alvarez,Fantasy,English,Simon & Schuster,2th,660,66,2,28.92
Marc Hall,Science,Spanish,Penguin,2th,288,20,9,3.23
Christine Garcia,Technology,German,Pearson,7th,685,51,2,80.14
Samuel Livingston,Biography,French,Oxford,1th,533,4,1,171.55
Shelley Booth,Fantasy,German,Simon & Schuster,9th,445,9,6,82.38
Richard Edwards,Science,English,Springer,10th,635,32,3,12.7
Sandra Tyler,Biography,Italian,Cambridge,2th,141,9,9,13.92
Martin Grant,Philosophy,Spanish,Springer,1th,400,3,7,52.35
Brittany Ross,Technology,Italian,Macmillan,1th,614,17,6,14.2
Patrick Zavala,Biography,German,Simon & Schuster,2th,50,3,10,58.85
Andrea Campbell,Biography,Italian,Penguin,4th,669,34,5,31.72
Charles Lucas,Science,English,Pearson,9th,771,70,10,31.31
Casey Lopez,Philosophy,German,Oxford,4th,77,0,3,47.76
Warren Morris,Technology,German,Pearson,5th,849,59,1,17.61
Jenna Gibson,Biography,French,HarperCollins,5th,278,5,1,80.48
Wendy Rich,Science,Italian,Macmillan,3th,435,5,8,44.6
Sandra Mason,Fiction,Spanish,Penguin,6th,202,5,3,31.92
Daniel Mcdonald,Fiction,German,Simon & Schuster,4th,846,66,5,0.5
Dawn Cooper,Fiction,Spanish,Pearson,10th,885,29,2,24.07
Melissa Gray,Fantasy,English,Oxford,3th,620,14,8,59.15
Sean Johnson,Technology,German,HarperCollins,8th,344,9,1,58.7
Katie Jackson,Philosophy,Italian,Oxford,1th,94,9,7,44.61
Barbara Stephens,Fiction,German,Penguin,3th,969,36,0,14.57
Jason Jackson,Fiction,English,Oxford,7th,999,81,2,82.59
Eddie Jackson,Fantasy,Italian,Oxford,2th,396,21,5,57.11
Cynthia King,History,Italian,Simon & Schuster,7th,77,5,4,20.61
Jason Cooke,Fiction,French,Pearson,9th,743,40,4,69.47
Cheryl Davis,Philosophy,English,Simon & Schuster,7th,940,54,4,111.71
Theresa Chapman,History,French,Pearson,5th,477,47,10,2.56
Lisa King,History,Spanish,Cambridge,6th,768,14,2,59.15
Christina Lamb,Science,Italian,Oxford,2th,562,4,7,41.08
Sarah Hamilton,History,Spanish,Cambridge,8th,737,7,1,30.64
Roger Torres,Fiction,Italian,Penguin,10th,694,34,4,53.46
Christopher Cruz,Science,German,HarperCollins,4th,676,43,8,76.48
Rhonda Davies,Biography,Italian,Pearson,6th,263,13,7,68.52
Nathan Brown,Fantasy,Italian,Cambridge,6th,301,15,9,38.95
Thomas Thompson,History,French,Penguin,4th,184,1,9,91.07
Stacey Ochoa,Philosophy,Spanish,Pearson,3th,532,24,2,42.19
Angela Clark,History,Spanish,Pearson,9th,563,7,2,9.38
Michael Cobb,History,Italian,Springer,1th,992,3,10,22.56
John Lopez,Fantasy,English,Cambridge,7th,151,0,10,31.68
Nathan Sanders,History,German,Oxford,5th,185,4,2,60.02
Amy Mcguire,Non-Fiction,English,Cambridge,1th,862,17,0,24.27
Derek Thompson,Biography,German,Oxford,9th,270,0,1,61.01
Donna Serrano MD,Non-Fiction,Italian,Simon & Schuster,3th,867,55,1,80.9
Cynthia Morris,Technology,English,Oxford,7th,797,44,1,0.5
Joseph Cox,Biography,German,Oxford,1th,978,13,10,91.82
John Cox,Science,English,Penguin,6th,367,8,10,18.68
Brandon Foster,Philosophy,French,Penguin,3th,701,13,1,37.22
Erica Stone DVM,Non-Fiction,German,HarperCollins,2th,380,23,1,70.79
Cynthia Williams,Biography,French,Pearson,3th,349,23,10,14.27
Miguel Clark,Fiction,English,HarperCollins,6th,694,3,7,28.98
Ariana Valenzuela,Technology,Italian,Cambridge,2th,570,10,0,60.3
Isaac Edwards,Fantasy,Italian,HarperCollins,4th,661,59,9,56.31
Jared Yates,Non-Fiction,English,Pearson,7th,63,4,8,70.69
Kathleen Fisher,Philosophy,French,Macmillan,7th,690,47,2,4.75
Kaylee Andrews,History,French,Pearson,4th,207,4,3,45.13
Taylor Clark,Philosophy,Italian,Springer,2th,895,12,4,85.75
Karla Wilson,Science,English,HarperCollins,1th,324,13,9,52.24
Julia Lee,Biography,Italian,Macmillan,2th,295,29,6,26.14
Isabel Keller,Fantasy,English,Macmillan,10th,611,57,2,28.38
Jacqueline Cain,Biography,Spanish,Springer,10th,759,1,4,18.37
Daniel Nichols,Philosophy,Spanish,Springer,10th,138,2,1,37.75
Daniel Roberts,Fiction,Italian,Pearson,2th,733,41,6,62.02
Heather Olsen,Non-Fiction,Spanish,Springer,10th,258,15,8,85.74
Lindsay Baker,Fiction,Spanish,Simon & Schuster,9th,319,8,9,75.96
Barry Preston,Science,Italian,Simon & Schuster,10th,330,22,1,16.36
Jay Smith,Non-Fiction,English,Pearson,5th,650,21,6,81.12
Thomas Goodwin,Non-Fiction,French,HarperCollins,1th,597,39,1,45.27
Joseph Hill,Non-Fiction,Spanish,Penguin,5th,393,22,4,72.31
Kyle Thompson,Non-Fiction,French,HarperCollins,4th,144,14,5,92.94
Richard Guzman,Technology,German,Pearson,8th,413,30,6,81.59
Kayla Stevens,Fiction,English,Simon & Schuster,2th,109,10,6,54.79
Paul Obrien,Philosophy,Italian,Cambridge,4th,422,32,4,60.97
Jason Smith,History,Italian,Pearson,8th,568,31,3,4.18
Patrick Marshall,Fantasy,English,Penguin,7th,633,35,0,45.78
Amanda Carpenter,History,English,Pearson,3th,533,6,2,29.71
Wesley Long,Biography,Italian,Pearson,8th,661,27,5,31.58
Cynthia Gonzalez,Biography,English,Oxford,10th,423,30,6,37.34
Donna Olsen,Science,Italian,Penguin,3th,579,18,1,88.86
Renee Williams,Science,Italian,Penguin,10th,247,20,5,47.04
Rebecca Mendoza,Philosophy,German,Simon & Schuster,8th,664,54,10,67.3
Tyler Brown,Fantasy,Italian,HarperCollins,5th,664,3,9,26.7
Ashley Todd,Biography,English,Macmillan,10th,585,47,5,59.32
David Willis,Fiction,Italian,HarperCollins,3th,890,38,9,73.73
Chad Guzman,Science,Spanish,Springer,2th,230,14,7,13.67
Alyssa Rodriguez,Technology,English,Macmillan,6th,108,8,5,27.08
Ryan Bright,Biography,Italian,Pearson,3th,339,26,9,52.17
Allison Simon,Philosophy,Italian,Penguin,3th,77,7,0,64.29
Ryan Carter,Technology,Spanish,Macmillan,7th,350,1,9,28.78
Kristin Johnson,Technology,Spanish,Macmillan,2th,771,3,3,93.5
Shannon Fernandez,Technology,English,Macmillan,3th,60,5,2,59.69
Colleen Mccormick,History,German,Macmillan,10th,322,18,10,36.42
Russell Howell,Technology,Italian,HarperCollins,2th,969,75,7,36.32
Sandra Sosa,History,German,HarperCollins,1th,918,41,9,80.49
William Fields,Science,French,Oxford,2th,959,20,5,44.83
Jonathan Hall,Philosophy,Italian,Simon & Schuster,10th,611,27,2,11.02
Shelby Cantrell,Non-Fiction,English,HarperCollins,9th,73,7,3,86.45
Scott Woodward,Non-Fiction,French,Penguin,1th,697,34,3,169.98
James Johnson,Biography,Italian,Oxford,4th,750,68,3,29.34
Jasmine Cole,Biography,French,HarperCollins,8th,756,45,5,76.51
Jonathan Montgomery,Fiction,Spanish,Pearson,3th,715,7,7,36.87
Steven Baker,Non-Fiction,Italian,Cambridge,1th,274,12,6,3.59
Sheena Brennan,Science,Spanish,Springer,3th,792,72,1,0.59
Samuel Mayo,Non-Fiction,German,Pearson,9th,169,12,8,54.92
Frank Bryan,Philosophy,English,Macmillan,3th,341,14,4,19.22
Christopher Welch,Philosophy,English,Springer,10th,238,21,10,39.24
Carlos Carroll,Non-Fiction,German,Springer,8th,444,2,2,59.4
Todd Garcia,Science,English,Pearson,1th,481,43,2,78.66
George Bailey,Biography,Spanish,Pearson,3th,322,27,2,41.71
Travis Reed,Technology,English,Pearson,3th,517,38,4,24.03
Matthew Escobar,History,French,Pearson,2th,679,60,3,44.09
Shannon Guerrero,Fantasy,English,Springer,4th,388,17,7,51.42
Matthew White,Science,French,HarperCollins,10th,358,28,2,33.55
Megan Velazquez,History,Italian,Penguin,10th,354,10,2,94.74
Jonathan Holt,History,Italian,Macmillan,4th,928,47,5,77.48
Alyssa Middleton,Philosophy,English,Penguin,6th,487,5,7,70.92
Charlene Cabrera,Fiction,Spanish,Cambridge,5th,404,9,5,83.82
Jenny Schneider,Technology,English,Pearson,10th,174,11,0,74.62
Shannon Zavala,Technology,French,Pearson,5th,863,45,4,74.05
Jessica Mann,Non-Fiction,German,Macmillan,1th,766,71,4,54.72
Andrew Payne,Philosophy,German,Macmillan,8th,916,18,6,22.94
Timothy Martinez,Science,German,Oxford,2th,149,7,7,79.64
Beverly Taylor,Fantasy,Italian,Macmillan,3th,845,52,4,42.03
Donald Perez,History,Italian,Oxford,2th,600,17,9,72.92
Laura Frost,Non-Fiction,Italian,Pearson,1th,321,0,3,18.83
Tyler Johnson,Fantasy,Spanish,Springer,7th,229,15,1,82.41
Brian Shepherd,Fantasy,Spanish,Macmillan,1th,984,60,5,7.5
Douglas Palmer,Biography,English,Macmillan,2th,211,2,9,89.01
Kelly Cannon,Fiction,German,Oxford,5th,920,81,5,49.26
Brenda Gardner,Fantasy,French,Cambridge,8th,302,24,4,8.88
Jody Ramos,Science,French,Oxford,3th,317,9,6,91.74
Beth Bryant,Biography,French,Cambridge,2th,887,12,5,51.26
Robert Johnston,Science,Spanish,Simon & Schuster,6th,573,9,7,65.29
Sharon Ramirez,Technology,English,Springer,5th,835,39,1,25.4
Molly Walters,Science,French,Oxford,6th,269,19,8,18.3
Fernando Gomez,Fiction,English,Penguin,5th,714,28,1,4.03
Kimberly Jones,History,German,Oxford,6th,403,20,6,36.32
Manuel Morris,Technology,English,Cambridge,2th,211,17,6,35.66
Melissa Woods,History,German,Pearson,5th,775,5,4,2.25
Rodney Boyle,Fantasy,German,Simon & Schuster,3th,368,34,10,37.85
Carol Padilla,Science,English,Penguin,9th,787,19,0,71.96
Jasmine Miller,History,Italian,HarperCollins,10th,215,3,3,11.2
Christian Ross,Fiction,Spanish,Pearson,9th,370,10,9,26.41
Dakota Bradford,History,Italian,Pearson,1th,373,25,3,10.16
Matthew Daniels,Non-Fiction,English,Springer,9th,829,4,4,97.51
Susan Russell,History,English,Simon & Schuster,3th,234,18,5,16.64
Jessica Velazquez,Biography,Italian,Penguin,5th,988,79,10,23.31
Kevin Sharp,Science,German,Cambridge,1th,913,57,5,49.18
Jill Blackwell,Biography,Spanish,Simon & Schuster,10th,931,72,3,58.35
Jennifer Miller,Philosophy,Spanish,Oxford,4th,805,15,9,42.6
Manuel Garcia,History,Spanish,Macmillan,4th,574,29,0,69.92
James Guzman,History,English,Macmillan,7th,483,21,10,20.04
Kevin Gibbs,Biography,Spanish,Simon & Schuster,2th,619,26,1,20.55
Deborah Smith,History,French,Oxford,10th,809,61,5,46.68
Elizabeth Ayala,Science,French,Simon & Schuster,2th,654,11,2,85.17
Dawn Hughes,Fantasy,French,Simon & Schuster,9th,128,10,3,192.47
Susan Wilson,Technology,Italian,Macmillan,1th,346,1,9,49.74
William Perry,Science,English,Pearson,4th,415,2,2,9.64
Emily Walters,Technology,German,Oxford,10th,95,3,1,97.77
Jason Wu,Biography,English,Springer,3th,577,34,1,0.5
Sharon Rosales,Technology,French,HarperCollins,9th,278,4,0,70.22
Kimberly Rivas,History,Italian,Pearson,8th,395,14,1,25.53
Kaitlin Young,History,French,Springer,2th,945,71,0,58.49
Raymond Phillips,Fiction,English,Macmillan,9th,406,10,2,63.62
Matthew Thompson,Philosophy,English,Macmillan,7th,485,13,7,17.05
Austin Hoffman,History,Italian,Pearson,4th,60,1,8,87.2
Elizabeth Moreno,Fantasy,French,Oxford,8th,565,10,3,19.77
Anna Martinez,History,French,Cambridge,6th,511,51,2,40.58
Robert Aguilar,Non-Fiction,German,HarperCollins,1th,189,4,2,74.41
Traci Kaiser,Fantasy,Italian,Penguin,1th,503,19,4,20.51
Mrs. Kathleen Hanson DVM,Fiction,English,Pearson,4th,624,33,9,39.05
Jeffery Fuller,Philosophy,English,HarperCollins,3th,196,9,7,15.37
Crystal Rodriguez,Technology,Spanish,Macmillan,9th,196,2,1,29.3
Sarah Scott,Fantasy,Spanish,Penguin,8th,379,17,7,14.37
Elizabeth Esparza,Philosophy,Spanish,Penguin,10th,576,23,1,5.75
John Jones,History,English,Springer,9th,889,21,6,73.69
Mr. Noah Davis,Science,Italian,Simon & Schuster,9th,611,21,3,75.16
Michael Green,Science,Spanish,Cambridge,8th,876,6,10,66.96
Vanessa Richardson,Non-Fiction,Spanish,Penguin,7th,65,1,8,37.5
Natalie Carter,Science,French,Springer,1th,231,1,10,81.7
Lisa Smith,Biography,German,Pearson,3th,812,11,4,86.78
Kevin Moore,Fiction,French,Springer,4th,423,20,0,191.68
Rodney Simon,Fiction,French,Oxford,7th,886,25,10,46.74
Robert Carpenter,Biography,French,Penguin,10th,972,16,10,52.8
Paul Miller,Non-Fiction,Italian,Simon & Schuster,9th,168,11,9,0.5
Debbie Crawford,Philosophy,French,HarperCollins,2th,960,12,10,78.06
Brett Sloan,Fantasy,Italian,Pearson,9th,761,31,2,0.5
Timothy Lee,Non-Fiction,English,Springer,6th,145,1,0,38.68
Robert Wilkinson,Technology,German,HarperCollins,7th,682,26,9,49.41
Cole Perez,Fiction,German,Springer,3th,740,43,2,47.57
Joshua Phillips,Fantasy,German,Oxford,4th,240,12,4,47.49
Amanda Reed,Technology,German,Oxford,3th,869,26,8,27.83
William Kelley,Fantasy,German,Macmillan,6th,173,3,2,21.69
Christina Gray,Fiction,Italian,Springer,9th,828,47,3,3.78
Juan Wilson,Fiction,Italian,Pearson,3th,931,43,6,57.91
Mark Vazquez,Non-Fiction,Italian,Simon & Schuster,1th,235,4,10,82.89
Amy Chavez,Fiction,Italian,Cambridge,2th,688,45,2,13.5
Christine Booker,Philosophy,English,Simon & Schuster,6th,674,31,7,49.26
David Quinn DDS,Non-Fiction,Italian,Oxford,3th,113,0,2,36.43
Ashley Conrad,Philosophy,Italian,Springer,3th,783,55,1,19.84
Daniel Waters,Philosophy,Spanish,Macmillan,3th,351,1,9,59.44
Paul Gutierrez,Biography,Spanish,HarperCollins,1th,145,11,5,51.33
Anthony Reese,Fantasy,German,Macmillan,7th,896,83,1,37.81
Heather Wells,Science,German,Cambridge,4th,961,4,2,38.51
Austin Collier,Science,English,HarperCollins,3th,115,5,4,46.98
Shelley Greene,Technology,French,Macmillan,3th,968,24,6,14.3
Elizabeth Lewis,Biography,French,Penguin,5th,899,54,3,72.6
Omar Rodriguez,Science,Italian,Macmillan,5th,848,56,3,5.9
Ebony Smith,Fiction,English,Pearson,6th,566,41,5,6.84
Jessica Johnson,Fantasy,German,Springer,10th,661,64,4,18.62
Mr. Anthony King DVM,History,German,Springer,10th,290,13,0,28.89
Jeffrey Ramirez,Biography,German,HarperCollins,10th,650,1,10,31.63
Robert Fox,Technology,German,HarperCollins,7th,498,34,8,87.24
Blake Thornton,Science,French,Oxford,8th,401,37,3,47.47
Derek Gonzalez,Philosophy,German,Macmillan,9th,845,9,8,54.82
Emily Rodriguez,Fantasy,German,Macmillan,9th,110,4,2,76.37
Amanda Garcia,History,German,Oxford,7th,833,40,0,27.9
Paul Andrews,Biography,Italian,Pearson,5th,56,1,0,48.18
Jaime Baker,Fantasy,Italian,Simon & Schuster,7th,916,50,7,79.66
Crystal Ramos,Biography,French,Springer,5th,568,51,2,19.44
Brian Wilson,Fantasy,French,Macmillan,3th,231,18,4,94.9
Mr. Michael Bass,Biography,Italian,Oxford,1th,124,4,2,97.82
Amy Dalton,Fantasy,Italian,Oxford,6th,757,30,10,127.8
Patricia Grant,History,Spanish,Simon & Schuster,10th,790,59,5,74.4
